1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
2.525,2.758,3.018,3.322,3.682,4.061,4.44,4.853,5.31,5.735,6.127,6.52,6.93,7.349
0.575,0.803,1.058,1.357,1.712,2.086,2.46,2.868,3.32,3.74,4.127,4.515,4.92,5.334
